No    | English            | Vietnamese
1     | arm                | tay
2     | ball               | bóng
3     | bird               | chim
4     | book               | sách
5     | bowl               | bát
6     | bug                | b?
7     | cat                | mèo
8     | chair              | gh?
9     | dog                | chó
10    | dragon             | r?ng
11    | electric           | ?i?n
12    | fairy              | tiên
13    | fire               | l?a
14    | fly                | bay
15    | ghost              | ma
16    | grass              | c?
17    | hit                | trúng
18    | human              | ng??i
19    | ice                | b?ng
20    | kick               | ?á
21    | leg                | chân
22    | mouse              | chu?t
23    | plate              | ??a
24    | punch              | ??m
25    | rock               | ?á
26    | shot               | b?n
27    | table              | bàn
28    | throw              | ném
29    | tree               | cây
30    | water              | n??c
